peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
Agiocochook,https://www.peakbagger.com/peak.aspx?pid=6960,6288,6148,1318.9,2022-07-10,https://www.peakbagger.com/climber/ascent.aspx?aid=1986872,NH,NE115
Tahawus,https://www.peakbagger.com/peak.aspx?pid=6048,5344,4914,208.6,2022-07-16,https://www.peakbagger.com/climber/ascent.aspx?aid=1986883,NY,NE115
Katahdin,https://www.peakbagger.com/peak.aspx?pid=6820,5268,4288,254.8,2022-09-07,,ME,NE115
Mozdebiwajo,https://www.peakbagger.com/peak.aspx?pid=7013,4393,3633,83.6,2022-08-10,,VT,NE115
Lafayette,https://www.peakbagger.com/peak.aspx?pid=6909,5240,3320,27.7,2022-05-29,,NH,NE115
Killington,https://www.peakbagger.com/peak.aspx?pid=7031,4235,3315,90.6,2022-08-12,,VT,NE115
Slide,https://www.peakbagger.com/peak.aspx?pid=7335,4180,3280,219.5,2022-06-16,,NY,NE115
Sugarloaf,https://www.peakbagger.com/Peak.aspx?pid=4333,4240,3168,104.3,2022-09-04,,ME,NE115
Whiteface,https://www.peakbagger.com/peak.aspx?pid=5986,4865,3094,25.4,2022-06-19,,NY,NE115
Giant,https://www.peakbagger.com/peak.aspx?pid=6106,4626,2953,10,2022-08-25,,NY,NE115
Moosilauke,https://www.peakbagger.com/peak.aspx?pid=6903,4802,2932,20.2,2022-05-26,,NH,NE115
Bigelow,https://www.peakbagger.com/peak.aspx?pid=6850,4145,2845,12.9,2022-09-08,,ME,NE115
Carter Dome,https://www.peakbagger.com/peak.aspx?pid=6980,4832,2821,8.1,2022-09-01,,NH,NE115
Dix,https://www.peakbagger.com/peak.aspx?pid=6087,4823,2789,9.1,2022-08-26,,NY,NE115
Old Speck,https://www.peakbagger.com/peak.aspx?pid=6885,4160,2700,32.9,2022-08-30,,ME,NE115
Cabot,https://www.peakbagger.com/peak.aspx?pid=6877,4160,2661,20.7,2022-08-29,,NH,NE115
Saddleback,https://www.peakbagger.com/peak.aspx?pid=6848,4120,2446,15.5,2022-09-09,,ME,NE115
Santanoni,https://www.peakbagger.com/peak.aspx?pid=6008,4606,2408,12.1,2022-07-31,,NY,NE115
South Kinsman,https://www.peakbagger.com/peak.aspx?pid=6899,4358,2398,7.1,2022-08-07,,NH,NE115
Carrigain,https://www.peakbagger.com/peak.aspx?pid=6939,4680,2223,9.4,2022-07-02,,NH,NE115
Hunter,https://www.peakbagger.com/peak.aspx?pid=7318,4040,2140,23.6,2022-06-15,,NY,NE115
Ellen,https://www.peakbagger.com/peak.aspx?pid=7019,4083,2132,43,2022-08-23,,VT,NE115
Algonquin,https://www.peakbagger.com/peak.aspx?pid=6022,5115,2096,6,2022-06-11,,NY,NE115
Seward,https://www.peakbagger.com/peak.aspx?pid=6000,4331,2021,8.6,2022-06-13,,NY,NE115
Osceola,https://www.peakbagger.com/peak.aspx?pid=6992,4320,2000,9.6,2022-06-02,,NH,NE115
Moziozagan,https://www.peakbagger.com/peak.aspx?pid=7016,4078,1858,18.1,2022-08-13,,VT,NE115
Tecumseh,https://www.peakbagger.com/peak.aspx?pid=6994,4003,1723,3.9,2022-05-23,,NH,NE115
Field,https://www.peakbagger.com/peak.aspx?pid=6930,4320,1681,7.9,2022-08-20,,NH,NE115
South Twin,https://www.peakbagger.com/peak.aspx?pid=6920,4902,1502,7.5,2022-07-03,,NH,NE115
Nippletop,https://www.peakbagger.com/peak.aspx?pid=6081,4593,1345,2.3,2022-06-08,,NY,NE115
North Tripyramid,https://www.peakbagger.com/peak.aspx?pid=6996,4160,1320,8.1,2022-06-25,,NH,NE115
Waumbek,https://www.peakbagger.com/peak.aspx?pid=6882,4006,1289,7.7,2022-05-31,,NH,NE115
North Brother,https://www.peakbagger.com/peak.aspx?pid=6806,4151,1256,3.7,2022-09-06,,ME,NE115
Street,https://www.peakbagger.com/peak.aspx?pid=6015,4134,1247,4.3,2022-06-14,,NY,NE115
Crocker,https://www.peakbagger.com/peak.aspx?pid=6837,4226,1206,5.7,2022-09-05,,ME,NE115
Hancock,https://www.peakbagger.com/peak.aspx?pid=6940,4400,1200,3.6,2022-05-27,,NH,NE115
Cascade,https://www.peakbagger.com/peak.aspx?pid=6028,4098,1178,4,2022-06-06,,NY,NE115
Big Slide,https://www.peakbagger.com/peak.aspx?pid=6035,4199,1050,4.6,2022-06-09,,NY,NE115
Wildcat,https://www.peakbagger.com/peak.aspx?pid=6981,4422,1034,1.4,2022-09-01,,NH,NE115
