peak_name,peak_link,elevation,prominence_clean,isolation,date_climbed,trip_report_link,location,list
Attakulla,https://www.peakbagger.com/peak.aspx?pid=7822,6684,6089,1913.5,2023-05-18,https://www.peakbagger.com/climber/ascent.aspx?aid=2194392,NC,main
Kuwahi,https://www.peakbagger.com/peak.aspx?pid=7764,6643,4503,113.8,2023-04-05,,NC/TN,main
Roan High Knob,https://www.peakbagger.com/peak.aspx?pid=7806,6285,3485,30.2,2023-03-26,,NC/TN,main
Huckleberry Knob,https://www.peakbagger.com/peak.aspx?pid=7747,5560,3400,47.3,2023-06-05,,NC,main
Richland Balsam,https://www.peakbagger.com/peak.aspx?pid=7839,6410,3010,43.6,2023-04-19,,NC,main
Apple Orchard,https://www.peakbagger.com/peak.aspx?pid=7687,4225,2825,54.2,2023-06-23,,VA,main
Standing Indian,https://www.peakbagger.com/peak.aspx?pid=7726,5499,2819,52.2,2023-04-23,,NC,main
Spruce Knob,https://www.peakbagger.com/peak.aspx?pid=7376,4861,2781,282.3,2023-07-03,,WV,main
Crabtree Bald,https://www.peakbagger.com/peak.aspx?pid=16381,5320,2680,18.6,2023-05-25,,NC,main
Big Bald,https://www.peakbagger.com/peak.aspx?pid=7811,5516,2556,25.5,2023-05-12,,NC/TN,main
Big Frog,https://www.peakbagger.com/peak.aspx?pid=7727,4200,2480,46.1,2023-05-31,,TN,main
Rogers,https://www.peakbagger.com/peak.aspx?pid=7796,5729,2449,65.3,2023-05-05,,VA,main
Grandfather,https://www.peakbagger.com/peak.aspx?pid=7708,5946,2426,23.7,2023-03-27,,NC,main
Elliott Knob,https://www.peakbagger.com/peak.aspx?pid=7602,4463,2423,43.6,2023-07-01,,VA,main
Cheoah Bald,https://www.peakbagger.com/peak.aspx?pid=7847,5062,2357,13.2,2023-04-22,,NC,main
English,https://www.peakbagger.com/peak.aspx?pid=7768,3629,2292,17.5,2023-05-24,,TN,main
Rocky,https://www.peakbagger.com/peak.aspx?pid=7682,4072,2272,42.1,2023-06-24,,VA,main
Snake,https://www.peakbagger.com/peak.aspx?pid=7803,5560,2240,25.7,2023-03-30,,NC,main
Hawksbill,https://www.peakbagger.com/peak.aspx?pid=7661,4050,2148,64.4,2023-06-28,,VA,main
Balsam Beartown,https://www.peakbagger.com/peak.aspx?pid=7610,4710,2130,45.4,2023-05-03,,VA,main
Brasstown Bald,https://www.peakbagger.com/peak.aspx?pid=7730,4784,2108,25.5,2023-04-26,,GA,main
Cross,https://www.peakbagger.com/peak.aspx?pid=7475,3534,2094,74.6,2023-04-29,,TN,main
High Knob,https://www.peakbagger.com/peak.aspx?pid=7467,4223,2043,64.9,2023-05-01,,VA,main
Bald Knob,https://www.peakbagger.com/peak.aspx?pid=7607,4361,2041,79.9,2023-06-22,,VA,main
Reddish Knob,https://www.peakbagger.com/peak.aspx?pid=7590,4397,1997,24.6,2023-07-01,,VA/WV,main
Tobacco Row,https://www.peakbagger.com/peak.aspx?pid=18429,2932,1960,16.9,2023-06-24,,VA,main
Waterrock Knob,https://www.peakbagger.com/peak.aspx?pid=7831,6292,1947,17.1,2023-04-18,,NC,main
Big House,https://www.peakbagger.com/peak.aspx?pid=18428,3645,1925,26.4,2023-07-02,,VA,main
Black,https://www.peakbagger.com/peak.aspx?pid=7464,4139,1899,23.6,2023-05-01,,KY,main
Oswald Dome,https://www.peakbagger.com/peak.aspx?pid=18430,3000,1800,15,2023-05-31,,TN,main
Hall Top,https://www.peakbagger.com/peak.aspx?pid=18431,3610,1770,10.3,2023-05-23,,TN,main
Icy Knob,https://www.peakbagger.com/peak.aspx?pid=12394,3000,1760,28,2023-05-07,,NC,main
Cove,https://www.peakbagger.com/peak.aspx?pid=18432,4077,1757,7.3,2023-06-08,,TN,main
Big Bald,https://www.peakbagger.com/peak.aspx?pid=7736,4075,1755,27.7,2023-06-03,,GA,main
Green Ridge Knob,https://www.peakbagger.com/peak.aspx?pid=18424,4860,1753,1.9,2023-05-22,,NC,main
Little Pisgah,https://www.peakbagger.com/peak.aspx?pid=18458,4412,1732,17.3,2023-05-08,,NC,main
Sugarloaf,https://www.peakbagger.com/peak.aspx?pid=7715,3965,1725,9.8,2023-05-08,,NC,main
Thorny Flat,https://www.peakbagger.com/peak.aspx?pid=7370,4848,1688,52.3,2023-07-03,,WV,main
Morris Knob,https://www.peakbagger.com/peak.aspx?pid=7621,4440,1680,15.8,2023-05-04,,VA,main
Wine Spring Bald,https://www.peakbagger.com/peak.aspx?pid=7849,5440,1680,15.7,2023-04-21,,NC,main
Sugar Run,https://www.peakbagger.com/peak.aspx?pid=18580,4087,1677,23.4,2023-06-21,,VA,main
Cowee Bald,https://www.peakbagger.com/peak.aspx?pid=18489,4944,1664,14.9,2023-04-23,,NC,main
Scott,https://www.peakbagger.com/peak.aspx?pid=18436,3765,1645,5.4,2023-06-10,,TN,main
Pig Pen Bluff,https://www.peakbagger.com/peak.aspx?pid=18457,4401,1601,8.5,2023-05-22,,NC,main
Holston High Point,https://www.peakbagger.com/peak.aspx?pid=7800,4280,1600,17.5,2023-06-18,,TN,main
Hinch,https://www.peakbagger.com/peak.aspx?pid=7448,3048,1588,56.4,2023-04-28,,TN,main
Guyot,https://www.peakbagger.com/peak.aspx?pid=7773,6621,1581,26.9,2023-04-13,,NC/TN,main
Little Frog,https://www.peakbagger.com/peak.aspx?pid=18417,3322,1562,11.9,2023-06-02,,TN,main
Bald Knob,https://www.peakbagger.com/peak.aspx?pid=18585,4240,1560,36.4,2023-07-02,,VA,main
Jefferson,https://www.peakbagger.com/peak.aspx?pid=26278,4640,1560,6.8,2023-06-19,,NC,main
East River,https://www.peakbagger.com/peak.aspx?pid=18587,4360,1560,7,2023-05-02,,VA,main
