peak_name,peak_link,elevation_ft,elevation_m,prominence_ft,prominence_m,isolation_mi,isolation_km,date_climbed,trip_report_link,location,list,ULTRA,P3K,P2K,P1K,STHP,STPP,STIP,STEP,LCL,NE67,ADK46,SE40,NYFT,EAP2K,VT35,CT35,BEL12,OSS10,NHFT,NEK20,LG12,SARN6,FUL3,TUP3
Gray Butte,https://www.peakbagger.com/peak.aspx?pid=29585,5108,1557,1908,582,6.6,10.6,2024-11-24,../../../trip_reports/long_covid_reports/2024_11_22-_bend_area.html#gray,OR,OR78a,,,,y,,,,,y,,,,,,,,,,,,,,,
Awbrey Butte,https://www.peakbagger.com/peak.aspx?pid=56795,4220,1286,460,140,5.2,8.3,2024-11-22,../../../trip_reports/long_covid_reports/2024_11_22-_bend_area.html#bend_butte_bike,OR,OR78a,,,,,,,,,y,,,,,,,,,,,,,,,
Pilot Butte,https://www.peakbagger.com/peak.aspx?pid=3236,4138,1261,458,140,2.6,4.2,2024-11-22,../../../trip_reports/long_covid_reports/2024_11_22-_bend_area.html#bend_butte_bike,OR,OR78a,,,,,,,,,y,,,,,,,,,,,,,,,
Tumalo Butte,https://www.peakbagger.com/peak.aspx?pid=68358,4000,1219,280,85,1.7,2.8,2024-11-22,../../../trip_reports/long_covid_reports/2024_11_22-_bend_area.html#bend_butte_bike,OR,OR78a,,,,,,,,,y,,,,,,,,,,,,,,,
Overturf Butte,https://www.peakbagger.com/peak.aspx?pid=-110879,3909,1191,149,45,0.3,0.5,2024-11-22,../../../trip_reports/long_covid_reports/2024_11_22-_bend_area.html#bend_butte_bike,OR,OR78a,,,,,,,,,y,,,,,,,,,,,,,,,
Lookout,https://peakbagger.com/peak.aspx?pid=3221,6926,2111,2426,739,45.8,73.7,2024-11-11,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#lookout,OR,OR78,,,y,y,,,,,y,,,,,,,,,,,,,,,
Black Butte,https://peakbagger.com/peak.aspx?pid=16451,6436,1962,3076,938,10.3,16.5,2024-11-09,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#black,OR,OR78,,y,y,y,,,,,y,,,,,,,,,,,,,,,
Marys,https://peakbagger.com/peak.aspx?pid=1080,4097,1249,3357,1023,48.6,78.2,2024-11-07,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#marys,OR,OR78,,y,y,y,,,,,y,,,,,,,,,,,,,,,
West Prairie,https://peakbagger.com/peak.aspx?pid=20209,3347,1020,2287,697,10.6,17.1,2024-11-07,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#prairie,OR,OR78,,,y,y,,,,,y,,,,,,,,,,,,,,,
East Prairie,https://peakbagger.com/peak.aspx?pid=16457,3422,1043,102,31,1,1.6,2024-11-07,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#prairie,OR,OR78a,,,y,y,,,,,y,,,,,,,,,,,,,,,
Roman Nose,https://peakbagger.com/peak.aspx?pid=1090,2840,866,2080,634,25.7,41.4,2024-11-06,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#roman_nose,OR,OR78,,,y,y,,,,,y,,,,,,,,,,,,,,,
Blacktail,https://peakbagger.com/peak.aspx?pid=17099,4960,1512,2760,841,6.8,10.9,2024-10-23,../../../trip_reports/long_covid_reports/2024_10_23-42_asthmatic.html#blacktail,ID,LCL,,,y,y,,,,,y,,,,,,,,,,,,,,,
East Gold Hill,https://www.peakbagger.com/peak.aspx?pid=86527,4677,1426,1317,401,7.8,12.5,2024-10-07,../../../trip_reports/long_covid_reports/2024_10_01-07_outer_areas.html#gold,ID,LCL,,,,y,,,,,y,,,,,,,,,,,,,,,
