Wy'east,https://www.peakbagger.com/peak.aspx?pid=2382,"11,239",3426,7706,2349,57.3,92.2,,,OR,OR101
Sacajawea,https://www.peakbagger.com/peak.aspx?pid=3158,9838,2999,6388,1947,125.5,202,,,OR,OR101
Seekseekqua,https://www.peakbagger.com/peak.aspx?pid=2401,"10,497",3199,5777,1761,48.2,77.5,,,OR,OR101
South Sister,https://www.peakbagger.com/peak.aspx?pid=2416,"10,358",3157,5588,1703,39.4,63.4,,,OR,OR101
Rock Creek,https://www.peakbagger.com/peak.aspx?pid=3134,9106,2776,4466,1361,43.4,69.9,,,OR,OR101
Walum,https://www.peakbagger.com/peak.aspx?pid=2465,9495,2894,4455,1358,69.5,111.8,,,OR,OR101
Steens,https://www.peakbagger.com/peak.aspx?pid=3338,9733,2967,4373,1333,124.8,200.8,,,OR,OR101
Brandy,https://www.peakbagger.com/peak.aspx?pid=1099,5298,1615,3618,1103,33.7,54.2,,,OR,OR101
Gearhart,https://www.peakbagger.com/peak.aspx?pid=3259,8370,2551,3430,1045,40.8,65.7,,,OR,OR101
Hischokwolas,https://www.peakbagger.com/peak.aspx?pid=2441,9182,2799,3342,1019,50.4,81.1,,,OR,OR101
Paulina,https://www.peakbagger.com/peak.aspx?pid=3238,7984,2434,3214,980,29.5,47.5,,,OR,OR101
Yamsay,https://www.peakbagger.com/peak.aspx?pid=3255,8196,2498,3176,968,33,53.1,,,OR,OR101
Ashland,https://www.peakbagger.com/peak.aspx?pid=1105,7532,2296,3132,955,30.4,48.9,,,OR,OR101
Diamond,https://www.peakbagger.com/peak.aspx?pid=2430,8744,2665,3104,946,25.7,41.4,,,OR,OR101
Aspen,https://www.peakbagger.com/peak.aspx?pid=2468,8208,2502,3088,941,14.2,22.8,,,OR,OR101
Rogers,https://www.peakbagger.com/peak.aspx?pid=1075,3706,1130,3034,925,60.8,97.9,,,OR,OR101
Pueblo,https://www.peakbagger.com/peak.aspx?pid=3340,8632,2631,3032,924,28.3,45.5,,,OR,OR101
Scott,https://www.peakbagger.com/peak.aspx?pid=2455,8929,2722,3009,917,16,25.8,,,OR,OR101
Bailey,https://www.peakbagger.com/peak.aspx?pid=2440,8368,2551,2968,905,7.6,12.2,,,OR,OR101
Laurel,https://www.peakbagger.com/peak.aspx?pid=1079,3589,1094,2829,862,28.2,45.4,,,OR,OR101
North Sister,https://www.peakbagger.com/peak.aspx?pid=2413,"10,085",3074,2725,831,4.2,6.8,,,OR,OR101
Bachelor,https://www.peakbagger.com/peak.aspx?pid=2423,9065,2763,2665,812,6.8,11,,,OR,OR101
Pearsoll,https://www.peakbagger.com/peak.aspx?pid=1101,5080,1548,2600,792,19.3,31.1,,,OR,OR101
Maiden,https://www.peakbagger.com/peak.aspx?pid=2429,7818,2383,2578,786,10.7,17.3,,,OR,OR101
Washington,https://www.peakbagger.com/peak.aspx?pid=2411,7794,2376,2554,778,10.1,16.3,,,OR,OR101
Drake,https://www.peakbagger.com/peak.aspx?pid=3282,8407,2562,2547,776,17.3,27.9,,,OR,OR101
Swan Lake Point,https://www.peakbagger.com/peak.aspx?pid=23486,7260,2213,2540,774,21,33.8,,,OR,OR101
Eight Dollar,https://www.peakbagger.com/peak.aspx?pid=16452,4000,1219,2520,768,3.6,5.8,,,OR,OR101
Three Fingered Jack,https://www.peakbagger.com/peak.aspx?pid=2406,7841,2390,2481,756,12.6,20.3,,,OR,OR101
Bolivar,https://www.peakbagger.com/peak.aspx?pid=1093,4319,1316,2479,756,9.4,15.2,,,OR,OR101
West Onion,https://www.peakbagger.com/peak.aspx?pid=18392,3076,938,2356,718,12.6,20.3,,,OR,OR101
Schreiner,https://www.peakbagger.com/peak.aspx?pid=2391,5710,1740,2350,716,12.7,20.4,,,OR,OR101
Hamner,https://www.peakbagger.com/peak.aspx?pid=16453,7098,2163,2338,713,8.6,13.8,,,OR,OR101
Crane,https://www.peakbagger.com/peak.aspx?pid=3284,8456,2577,2336,712,44.4,71.4,,,OR,OR101
Saddle,https://www.peakbagger.com/peak.aspx?pid=1070,3283,1001,2323,708,21.7,34.9,,,OR,OR101
Fields,https://www.peakbagger.com/peak.aspx?pid=3223,7362,2244,2322,708,17.5,28.1,,,OR,OR101
